playout_delay_ms = 88,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 88,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 88,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 89,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 89,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 90,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 90,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 90,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 90,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 90,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 91,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 91,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 93,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 93,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 86,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 91,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 91,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 91,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 91,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 92,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 93,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 93,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 94,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 94,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 95,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 96,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 96,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 99,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 97,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
playout_delay_ms = 87,  highThreshold()<<2=480, hightThreshold()=120, LowThreshold()=75
